,Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
0,20.57,68.12,0.0,0.0,19.759999999999998,24.31,20.82,76.47,44.1,67.32,0.0,171.45,0.0,0.0,577.41,0.0
1,19.735,74.75,0.0,0.0,20.265,24.645,20.29,72.65,41.52,72.46,41.67,132.0,0.0,65.46,708.69,0.0
2,19.715,75.88,0.0,0.0,21.045,24.615,19.2,67.54,41.96,82.54,101.65,118.76,0.0,329.89,595.7,0.0
3,19.715,78.25,0.0,0.0,22.38,24.705,19.27,56.74,42.34,80.86,151.99,69.99,0.0,436.51,582.3,0.0
4,19.744999999999997,77.75,0.0,0.0,23.35,24.585,18.119999999999997,50.2,42.92,93.52,187.61,34.75,0.0,486.97,329.68,0.0
5,19.795,76.38,0.0,0.0,24.299999999999997,24.17,17.855,43.76,45.94,93.11,223.09,0.0,0.0,462.04,0.0,0.0
6,19.845,75.38,0.0,0.0,24.43,24.405,17.82,43.36,44.8,91.48,174.54,0.0,0.0,587.8,0.0,0.0
7,20.174999999999997,73.75,41.06,64.5,24.575,23.64,18.275,41.95,48.54,83.54,130.69,0.0,36.2,701.65,0.0,16.6
8,21.174999999999997,66.12,103.88,337.12,24.56,23.619999999999997,18.174999999999997,42.29,46.92,85.05,117.85,0.0,117.49,591.13,0.0,64.44
9,22.354999999999997,57.0,151.31,434.56,24.604999999999997,23.134999999999998,18.08,42.98,48.91,87.86,68.99,0.0,163.71,574.03,0.0,17.89
10,23.42,49.62,189.81,492.69,24.545,22.244999999999997,19.205,43.15,53.52,76.96,34.56,0.0,231.55,327.93,0.0,52.17
11,24.284999999999997,43.88,222.5,460.81,24.305,22.27,19.915,45.09,52.18,67.91,0.0,0.0,293.11,0.0,0.0,169.46
12,24.534999999999997,42.62,177.62,598.19,24.25,21.13,19.939999999999998,45.84,64.6,65.28,0.0,0.0,274.66,0.0,0.0,45.56
13,24.515,42.38,129.38,694.62,23.68,20.424999999999997,18.99,48.27,71.1,72.34,0.0,0.0,227.43,0.0,0.0,35.79
14,24.515,42.62,116.94,586.56,23.455,19.45,19.384999999999998,48.09,79.77,63.81,0.0,0.0,193.77,0.0,0.0,92.54
15,24.515,43.62,68.0,565.75,23.015,19.174999999999997,19.645,49.76,81.99,57.91,0.0,0.0,123.73,0.0,0.0,214.35
16,24.515,43.38,34.38,326.19,22.375,18.384999999999998,19.52,52.57,90.2,56.82,0.0,0.0,61.86,0.0,0.0,268.97
17,24.42,44.25,0.0,0.0,22.159999999999997,18.055,18.384999999999998,53.03,90.55,64.9,0.0,0.0,0.0,0.0,0.0,0.0
18,24.115,46.88,0.0,0.0,21.284999999999997,17.86,18.665,63.24,90.99,59.84,0.0,0.0,0.0,0.0,0.0,0.0
19,23.715,48.0,0.0,0.0,20.49,18.04,17.849999999999998,70.43,86.52,65.99,0.0,35.07,0.0,0.0,16.08,0.0
20,23.314999999999998,49.25,0.0,0.0,19.575,18.21,17.28,78.39,84.65,72.67,0.0,118.06,0.0,0.0,64.75,0.0
21,22.915,50.62,0.0,0.0,19.125,18.36,16.645,82.55,84.62,77.56,0.0,170.8,0.0,0.0,18.67,0.0
22,22.485,51.62,0.0,0.0,18.52,19.03,16.29,88.54,78.98,79.09,0.0,226.06,0.0,0.0,50.93,0.0
23,22.064999999999998,53.88,0.0,0.0,18.16,19.564999999999998,16.075,89.28,71.65,78.89,0.0,279.9,0.0,0.0,161.83,0.0
24,21.415,61.88,0.0,0.0,17.88,19.7,15.849999999999998,90.75,67.7,81.06,0.0,265.8,0.0,0.0,44.09,0.0
25,20.549999999999997,69.75,0.0,0.0,17.924999999999997,19.259999999999998,16.085,88.01,69.73,81.1,34.5,237.02,0.0,15.82,37.3,0.0
26,19.685,77.0,0.0,0.0,18.224999999999998,19.435,16.71,84.45,63.35,74.79,118.34,195.23,0.0,64.91,93.24,0.0
27,19.085,83.12,0.0,0.0,18.5,19.505,16.755,83.0,59.15,73.87,174.34,121.31,0.0,19.05,210.14,0.0
28,18.634999999999998,86.88,0.0,0.0,18.945,19.33,16.244999999999997,79.99,58.41,79.23,223.31,60.31,0.0,50.31,262.21,0.0
29,18.244999999999997,88.0,0.0,0.0,19.395,18.59,16.22,73.51,63.07,78.54,273.29,0.0,0.0,158.01,0.0,0.0
30,17.895,90.5,0.0,0.0,19.58,18.509999999999998,16.689999999999998,68.91,61.23,70.68,261.37,0.0,0.0,43.35,0.0,0.0
31,17.825,89.5,33.94,15.56,19.4,17.91,16.244999999999997,68.43,65.43,74.26,241.82,0.0,42.48,38.05,0.0,33.17
32,18.24,84.25,118.62,65.06,19.465,17.43,17.075,63.11,71.21,66.75,195.96,0.0,114.83,93.59,0.0,192.79
33,18.619999999999997,81.38,177.88,19.44,19.43,16.915,18.58,59.76,74.78,56.07,120.09,0.0,164.17,208.04,0.0,352.36
34,18.869999999999997,81.0,220.56,49.69,19.24,16.535,19.71,59.21,76.49,49.62,59.53,0.0,185.01,258.82,0.0,440.43
35,19.244999999999997,75.38,266.69,154.19,18.695,16.224999999999998,21.564999999999998,62.16,77.26,39.13,0.0,0.0,208.54,0.0,0.0,568.42
36,19.474999999999998,70.12,256.94,42.62,18.43,16.025,22.634999999999998,61.93,79.15,34.45,0.0,0.0,197.59,0.0,0.0,635.85
37,19.515,67.12,246.62,38.81,17.939999999999998,16.11,22.795,65.16,80.8,35.02,0.0,0.0,174.08,0.0,0.0,555.97
