readTime,hpwhW_99240,hpwhW_99162,hpwhW_99155,hpwhW_99150,hpwhW_99149,hpwhW_99148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:01:00,0,5.905586,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:02:00,0,5.920964,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:03:00,0,5.90316,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:04:00,0,5.945439,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:05:00,0,5.919168,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:06:00,0,5.978204,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:07:00,0,5.898889,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:08:00,0,5.929431,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:09:00,0,6.003931,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:10:00,0,5.892696,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:11:00,0,5.975574,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:12:00,0,5.95256,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:13:00,0,5.932334,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:14:00,0,5.775622,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:15:00,0,5.957742,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:16:00,0,5.969176,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:17:00,0,5.97919,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:18:00,0,5.93924,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:19:00,0,5.736695,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:20:00,0,5.729597,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:21:00,0,5.729618,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:22:00,0,5.741087,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:23:00,0,5.710773,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:24:00,0,5.80886,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:25:00,0,5.719398,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:26:00,0,5.765655,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:27:00,0,5.761334,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:28:00,0,5.743361,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:29:00,0,5.955623,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05oct2011 00:30:00,0,5.955411,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
